model,artifact,dataset,variable,metric,depth_m,value
non-CCM,cnn_100_300_55.h5,held_out,temperature,NRMSE,200,0.08450398302674862
non-CCM,cnn_100_300_55.h5,held_out,temperature,NRMSE,250,0.0645306593800421
non-CCM,cnn_100_300_55.h5,held_out,temperature,NRMSE,300,0.06305788332023993
non-CCM,cnn_100_300_55.h5,held_out,temperature,NRMSE,400,0.09122600036475831
non-CCM,cnn_100_300_55.h5,held_out,temperature,NRMSE,500,0.09049136828613884
non-CCM,cnn_100_300_55.h5,held_out,salinity,R2,10,0.9412289410500836
non-CCM,cnn_100_300_55.h5,held_out,salinity,R2,20,0.8659173538914557
non-CCM,cnn_100_300_55.h5,held_out,salinity,R2,30,0.7968014675026418
non-CCM,cnn_100_300_55.h5,held_out,salinity,R2,50,0.7504957578037551
non-CCM,cnn_100_300_55.h5,held_out,salinity,R2,75,0.7402989787367988
non-CCM,cnn_100_300_55.h5,held_out,salinity,R2,100,0.7262740658542499
non-CCM,cnn_100_300_55.h5,held_out,salinity,R2,125,0.7356246406125644
non-CCM,cnn_100_300_55.h5,held_out,salinity,R2,150,0.6866033258666706
non-CCM,cnn_100_300_55.h5,held_out,salinity,R2,200,0.5057427399225531
non-CCM,cnn_100_300_55.h5,held_out,salinity,R2,250,0.5730819856023435
non-CCM,cnn_100_300_55.h5,held_out,salinity,R2,300,0.6182871757524218
non-CCM,cnn_100_300_55.h5,held_out,salinity,R2,400,0.6127772183748277
non-CCM,cnn_100_300_55.h5,held_out,salinity,R2,500,0.6065887029652786
non-CCM,cnn_100_300_55.h5,held_out,salinity,RMSE,10,0.13571146896172168
non-CCM,cnn_100_300_55.h5,held_out,salinity,RMSE,20,0.16578901219328038
non-CCM,cnn_100_300_55.h5,held_out,salinity,RMSE,30,0.1507726818916073
non-CCM,cnn_100_300_55.h5,held_out,salinity,RMSE,50,0.10580713574179416
non-CCM,cnn_100_300_55.h5,held_out,salinity,RMSE,75,0.08859889488453936
non-CCM,cnn_100_300_55.h5,held_out,salinity,RMSE,100,0.08047782463440718
non-CCM,cnn_100_300_55.h5,held_out,salinity,RMSE,125,0.06621240273978168
non-CCM,cnn_100_300_55.h5,held_out,salinity,RMSE,150,0.04952799384180954
non-CCM,cnn_100_300_55.h5,held_out,salinity,RMSE,200,0.028053333985783933
non-CCM,cnn_100_300_55.h5,held_out,salinity,RMSE,250,0.01643643776160689
non-CCM,cnn_100_300_55.h5,held_out,salinity,RMSE,300,0.012541002184311402
non-CCM,cnn_100_300_55.h5,held_out,salinity,RMSE,400,0.01038824206618843
non-CCM,cnn_100_300_55.h5,held_out,salinity,RMSE,500,0.010333852260953694
non-CCM,cnn_100_300_55.h5,held_out,salinity,MAE,10,0.0796595985709037
non-CCM,cnn_100_300_55.h5,held_out,salinity,MAE,20,0.10062391664941556
non-CCM,cnn_100_300_55.h5,held_out,salinity,MAE,30,0.09725457071520624
non-CCM,cnn_100_300_55.h5,held_out,salinity,MAE,50,0.07690088206324083
non-CCM,cnn_100_300_55.h5,held_out,salinity,MAE,75,0.06477905560492916
non-CCM,cnn_100_300_55.h5,held_out,salinity,MAE,100,0.057942304144124455
non-CCM,cnn_100_300_55.h5,held_out,salinity,MAE,125,0.04787626478407123
non-CCM,cnn_100_300_55.h5,held_out,salinity,MAE,150,0.035037058856472125
non-CCM,cnn_100_300_55.h5,held_out,salinity,MAE,200,0.01893569728796926
non-CCM,cnn_100_300_55.h5,held_out,salinity,MAE,250,0.011700566329762355
non-CCM,cnn_100_300_55.h5,held_out,salinity,MAE,300,0.009031828907605212
non-CCM,cnn_100_300_55.h5,held_out,salinity,MAE,400,0.007202026339841826
non-CCM,cnn_100_300_55.h5,held_out,salinity,MAE,500,0.006874126546522941
non-CCM,cnn_100_300_55.h5,held_out,salinity,NRMSE,10,0.051211875079895
non-CCM,cnn_100_300_55.h5,held_out,salinity,NRMSE,20,0.06995316970180614
non-CCM,cnn_100_300_55.h5,held_out,salinity,NRMSE,30,0.0861558182237756
non-CCM,cnn_100_300_55.h5,held_out,salinity,NRMSE,50,0.0904334493519607
non-CCM,cnn_100_300_55.h5,held_out,salinity,NRMSE,75,0.09526762890810686
non-CCM,cnn_100_300_55.h5,held_out,salinity,NRMSE,100,0.09935533905482341
non-CCM,cnn_100_300_55.h5,held_out,salinity,NRMSE,125,0.09196167047191915
non-CCM,cnn_100_300_55.h5,held_out,salinity,NRMSE,150,0.09171850711446225
non-CCM,cnn_100_300_55.h5,held_out,salinity,NRMSE,200,0.05968794465060426
non-CCM,cnn_100_300_55.h5,held_out,salinity,NRMSE,250,0.09131354312003842
non-CCM,cnn_100_300_55.h5,held_out,salinity,NRMSE,300,0.06967223435728567
non-CCM,cnn_100_300_55.h5,held_out,salinity,NRMSE,400,0.12985302582735814
non-CCM,cnn_100_300_55.h5,held_out,salinity,NRMSE,500,0.11482058067725891
non-CCM,cnn_100_300_55.h5,independent,temperature,R2,10,0.6236346339568157
non-CCM,cnn_100_300_55.h5,independent,temperature,R2,20,0.508497137699655
